Time,Label,value
2017-03-14 01:16:00-04:00,ASPT,68.99
2017-03-14 01:18:00-04:00,ASPT,68.95
2017-03-14 01:20:00-04:00,ASPT,68.99
2017-03-14 01:22:00-04:00,ASPT,68.94
2017-03-14 01:24:00-04:00,ASPT,68.92
2017-03-14 01:26:00-04:00,ASPT,68.91
2017-03-14 01:28:00-04:00,ASPT,68.89
2017-03-14 01:30:00-04:00,ASPT,68.87
2017-03-14 01:32:00-04:00,ASPT,68.88
2017-03-14 01:34:00-04:00,ASPT,68.82
2017-03-14 01:36:00-04:00,ASPT,68.85
2017-03-14 01:38:00-04:00,ASPT,68.86
2017-03-14 01:40:00-04:00,ASPT,68.81
2017-03-14 01:42:00-04:00,ASPT,68.78
2017-03-14 01:44:00-04:00,ASPT,68.78
2017-03-14 01:46:00-04:00,ASPT,68.77
2017-03-14 01:48:00-04:00,ASPT,68.76
2017-03-14 01:50:00-04:00,ASPT,68.71
2017-03-14 01:52:00-04:00,ASPT,68.7
2017-03-14 01:54:00-04:00,ASPT,68.68
2017-03-14 01:56:00-04:00,ASPT,68.69
2017-03-14 01:58:00-04:00,ASPT,68.68
2017-03-14 02:00:00-04:00,ASPT,68.65
2017-03-14 02:02:00-04:00,ASPT,68.64
2017-03-14 02:04:00-04:00,ASPT,68.66
2017-03-14 02:06:00-04:00,ASPT,68.63
2017-03-14 02:08:00-04:00,ASPT,68.6
2017-03-14 02:10:00-04:00,ASPT,68.58
2017-03-14 02:12:00-04:00,ASPT,68.58
2017-03-14 02:14:00-04:00,ASPT,68.6
2017-03-14 02:16:00-04:00,ASPT,68.58
2017-03-14 02:18:00-04:00,ASPT,68.54
2017-03-14 02:20:00-04:00,ASPT,68.51
2017-03-14 02:22:00-04:00,ASPT,68.52
2017-03-14 02:24:00-04:00,ASPT,68.54
2017-03-14 02:26:00-04:00,ASPT,68.53
2017-03-14 02:28:00-04:00,ASPT,68.5
2017-03-14 02:30:00-04:00,ASPT,68.5
2017-03-14 02:32:00-04:00,ASPT,68.45
2017-03-14 02:34:00-04:00,ASPT,68.4
2017-03-14 02:36:00-04:00,ASPT,68.38
2017-03-14 02:38:00-04:00,ASPT,68.37
2017-03-14 02:40:00-04:00,ASPT,68.3
2017-03-14 02:42:00-04:00,ASPT,68.33
2017-03-14 02:44:00-04:00,ASPT,68.34
2017-03-14 02:46:00-04:00,ASPT,68.3
2017-03-14 02:48:00-04:00,ASPT,68.3
2017-03-14 02:50:00-04:00,ASPT,68.32
2017-03-14 02:52:00-04:00,ASPT,68.28
2017-03-14 02:54:00-04:00,ASPT,68.34
2017-03-14 02:56:00-04:00,ASPT,68.27
2017-03-14 02:58:00-04:00,ASPT,68.31
2017-03-14 03:00:00-04:00,ASPT,68.27
2017-03-14 03:02:00-04:00,ASPT,68.28
2017-03-14 03:04:00-04:00,ASPT,68.29
2017-03-14 03:06:00-04:00,ASPT,68.34
2017-03-14 03:08:00-04:00,ASPT,68.31
2017-03-14 03:10:01-04:00,ASPT,68.3
2017-03-14 03:12:00-04:00,ASPT,68.32
2017-03-14 03:14:00-04:00,ASPT,68.33
2017-03-14 03:16:00-04:00,ASPT,68.29
2017-03-14 03:18:00-04:00,ASPT,68.32
2017-03-14 03:20:00-04:00,ASPT,68.29
2017-03-14 03:22:00-04:00,ASPT,68.32
2017-03-14 03:24:00-04:00,ASPT,68.3
2017-03-14 03:26:00-04:00,ASPT,68.32
2017-03-14 03:28:00-04:00,ASPT,68.32
2017-03-14 03:30:00-04:00,ASPT,68.35
2017-03-14 03:32:00-04:00,ASPT,68.32
2017-03-14 03:34:00-04:00,ASPT,68.39
2017-03-14 03:36:00-04:00,ASPT,68.35
2017-03-14 03:38:00-04:00,ASPT,68.31
2017-03-14 03:40:00-04:00,ASPT,68.36
2017-03-14 03:42:00-04:00,ASPT,68.4
2017-03-14 03:44:00-04:00,ASPT,68.33
2017-03-14 03:46:00-04:00,ASPT,68.3
2017-03-14 03:48:00-04:00,ASPT,68.33
2017-03-14 03:50:00-04:00,ASPT,68.29
2017-03-14 03:52:00-04:00,ASPT,68.26
2017-03-14 03:54:00-04:00,ASPT,68.27
2017-03-14 03:56:00-04:00,ASPT,68.25
2017-03-14 03:58:00-04:00,ASPT,68.23
