Time,Label,value
2017-03-13 08:36:00-04:00,ASPT,69.87
2017-03-13 08:38:00-04:00,ASPT,69.88
2017-03-13 08:40:00-04:00,ASPT,69.74
2017-03-13 08:42:00-04:00,ASPT,69.71
2017-03-13 08:44:00-04:00,ASPT,69.67
2017-03-13 08:46:00-04:00,ASPT,69.61
2017-03-13 08:48:00-04:00,ASPT,69.58
2017-03-13 08:50:00-04:00,ASPT,69.59
2017-03-13 08:52:00-04:00,ASPT,69.56
2017-03-13 08:54:00-04:00,ASPT,69.56
2017-03-13 08:56:00-04:00,ASPT,69.54
2017-03-13 08:58:00-04:00,ASPT,69.56
2017-03-13 09:00:00-04:00,ASPT,69.55
2017-03-13 09:02:00-04:00,ASPT,69.56
2017-03-13 09:04:00-04:00,ASPT,69.56
2017-03-13 09:06:00-04:00,ASPT,69.55
2017-03-13 09:08:00-04:00,ASPT,69.58
2017-03-13 09:10:00-04:00,ASPT,69.63
2017-03-13 09:12:00-04:00,ASPT,69.74
2017-03-13 09:14:00-04:00,ASPT,69.79
2017-03-13 09:16:00-04:00,ASPT,69.79
2017-03-13 09:18:00-04:00,ASPT,69.82
2017-03-13 09:20:00-04:00,ASPT,69.87
2017-03-13 09:22:00-04:00,ASPT,69.9
2017-03-13 09:24:00-04:00,ASPT,69.87
2017-03-13 09:26:00-04:00,ASPT,69.91
2017-03-13 09:28:00-04:00,ASPT,69.97
2017-03-13 09:30:00-04:00,ASPT,69.94
2017-03-13 09:32:00-04:00,ASPT,69.97
2017-03-13 09:34:00-04:00,ASPT,70.04
2017-03-13 09:36:00-04:00,ASPT,70.01
2017-03-13 09:38:00-04:00,ASPT,69.99
2017-03-13 09:40:00-04:00,ASPT,69.95
2017-03-13 09:42:00-04:00,ASPT,69.97
2017-03-13 09:44:00-04:00,ASPT,69.92
2017-03-13 09:46:00-04:00,ASPT,69.9
2017-03-13 09:48:00-04:00,ASPT,69.89
2017-03-13 09:50:00-04:00,ASPT,69.89
2017-03-13 09:52:00-04:00,ASPT,69.89
2017-03-13 09:54:00-04:00,ASPT,69.89
2017-03-13 09:56:00-04:00,ASPT,69.82
2017-03-13 09:58:00-04:00,ASPT,69.86
2017-03-13 10:00:00-04:00,ASPT,69.88
2017-03-13 10:02:00-04:00,ASPT,69.85
2017-03-13 10:04:00-04:00,ASPT,69.87
2017-03-13 10:06:00-04:00,ASPT,69.9
2017-03-13 10:08:00-04:00,ASPT,69.89
2017-03-13 10:10:00-04:00,ASPT,69.92
2017-03-13 10:12:00-04:00,ASPT,69.88
2017-03-13 10:14:00-04:00,ASPT,69.91
2017-03-13 10:16:00-04:00,ASPT,69.94
2017-03-13 10:18:00-04:00,ASPT,69.97
2017-03-13 10:20:00-04:00,ASPT,69.94
2017-03-13 10:22:00-04:00,ASPT,69.98
2017-03-13 10:24:00-04:00,ASPT,69.96
2017-03-13 10:26:00-04:00,ASPT,69.98
2017-03-13 10:28:00-04:00,ASPT,69.96
2017-03-13 10:30:00-04:00,ASPT,69.94
2017-03-13 10:32:00-04:00,ASPT,69.98
2017-03-13 10:34:00-04:00,ASPT,69.96
2017-03-13 10:36:00-04:00,ASPT,70.04
2017-03-13 10:38:00-04:00,ASPT,70.0
2017-03-13 10:40:00-04:00,ASPT,70.07
2017-03-13 10:42:00-04:00,ASPT,70.11
